booking_id,passenger_id_hash,flight_id,booking_date,booking_year,booking_month,booking_month_name,status,is_confirmed,is_cancelled,is_pending,seat_number,passport_hash,emergency_contact_name_masked,emergency_contact_phone_hash
B1000,977c3154ed97450c76e731cfa64c1b4071ddd7001d11e16f6425026abd815d64,AI192,2025-06-14 11:37:36.951,2025,6,June,CANCELLED,False,True,False,3D,59e7e7738c8711b2f49be2c355b25b9bd41b780392aa2151796e8b52aaa0a056,I**********i,985d67522f17545947088177ffd59ea8702709ec835493de2194f1c2479784a6
B1001,604c9afd067fac61e2daa8a506a2030f2d8c48a0c123a8b1750c198b0cf829c3,6F026,2025-11-02 11:37:36.951,2025,11,November,CANCELLED,False,True,False,18A,6a95f336b866dc4d580b61301c1a96016a5ec24e056b4062fcb7eb48c0e14578,A********a,aa7ee7d23b01ff6ea11e0289aed82cb147b33cc5df6de16058bb3915f6c0ccbe
B1002,906ea2a505d51fd41a2b2f02d9dfc962d3831101cd8232792ccfed55ec6303da,SJ010,2025-08-25 11:37:36.951,2025,8,August,CANCELLED,False,True,False,30C,8d413701d70b517478f82789245fa033726307ec10b14c2c18fc6f6deb940931,U*********n,4e33ce849c3d764787254beb415674786ae346b69cb4246f43a779030c169fac
B1003,253e3decf26bba87ebad66473c9ad56664e004ace4b3cf396b23d9b89fb2d722,AI069,2025-12-30 11:37:36.951,2025,12,December,CONFIRMED,True,False,False,33A,19c4a665e8bc1266b54aee9a9925f0d4179044fbc7be190242d1b89272a91bff,H**********l,27696444174d7d93dfa426e3a915a87b7a7a362203dc309ba306de359e594d8a
B1004,f4133d1257c4df22d1f3160f167fa0b82a2d16ffc2fa6076b0dd622aa9284cbf,UK003,2025-10-02 11:37:36.951,2025,10,October,PENDING,False,False,True,25C,d9157c803314e083e13c0307a6e506c2beaa8c6e96140c318f3a5626acdbf658,P*********y,95c1ff00e23a76783142e73d30f571eecfb7633fe21a853d70038afc4d5e6902
B1005,ccaeb9c55d66d7925b9b4b257d89a2f3e2fcc223df68dd4a43a8b85509590cf3,AI048,2025-08-31 11:37:36.951,2025,8,August,CONFIRMED,True,False,False,13D,caabc2281b0da4c39b0a3b311e88f27b268a54a206f841d415910424688d7c97,A**************r,42b9936ba589960d37e339aa4cfc4aafaacf701f688c3a6b1a8f127b0737aaa9
B1006,a4df934159e17c6f77ef8d393588441f9c9abcf50194d863ddfde514c1ba87be,AI140,2025-06-29 11:37:36.951,2025,6,June,CANCELLED,False,True,False,17F,819d0525b412722fb313faf87f81a43b74df29a993116bd79095a97e202b44a5,T********l,c0c31d265f7a6cb09931061c034863a0be635062a670c3bf793a7792964b8d8b
B1007,2fbfa19e0834526a73f088118e54ac518f7fdbe8b02a8d6e2fbbac494cf0e908,UK167,2026-03-12 11:37:36.951,2026,3,March,CONFIRMED,True,False,False,22E,481f342177d3cec469338517a9902c34973ae3e01e73170d054a2a22e8fed7a7,Y***********a,8cbfb5c7045afc381c07f5af0f74cb0c8d52174a2adc5183fe43e2b07b577256
B1008,fe8378226aea284fc0bde70c404202521495e2831d1809e19eed560393f944f3,AI245,2025-09-07 11:37:36.951,2025,9,September,PENDING,False,False,True,34F,8c98a8c9d9ef366ea590a63c5fda7f9b38e3d7fd7cc2e1a664b318ac10d81116,R**********i,9fde40b1b124a899bd38d1710dd7109b0a2abaad5fce54f01123e3a0968f37a3
B1009,671275e88f80ab6612b251a834bc7c2c958d795dd8d53e18ca9e1e16136f7771,SJ158,2025-04-28 11:37:36.951,2025,4,April,CANCELLED,False,True,False,33C,16d60fe92f5a58498240b07d1f06756c4004ccb8ac1a35e2805525d1a10f4bd5,T********n,a7caeb0999e21599e6ff0f8f2ef3f017230359b1c8fd1e31aad6d9882d7a5b07
B1010,4b6c0c8b02b248b3832fafda3719d14a7c12256e352e612069e6a9d139c72f0d,AI155,2025-11-24 11:37:36.951,2025,11,November,CONFIRMED,True,False,False,15B,9b8bc958eb99de8fb7b16058960d026a06b3e7d596f3a18533a6dc3e4ff6331d,A***********a,975709b8233d356e3a616f0c5d55f85188b2db658a877ce032e6e5fa00a0eb53
B1011,6f2e7545bf6891bce54a08268e1cd0f112e247db566b7e31baf6851c5c4738c6,AI179,2025-10-25 11:37:36.951,2025,10,October,CONFIRMED,True,False,False,22C,2c38e171d27dcd125c6913f4d1c146a8da98219f63f72633e64e7bc3f19ef100,N************i,42d6463d2f4234c2de62a9167367d56170d6bcc9225217e8d6808e078e03ba5c
B1012,c7d426d2210ced26b6729b9feacd755a815a5fdb9ef6ff68620fbe61f34c9dd9,AI137,2025-08-15 11:37:36.951,2025,8,August,PENDING,False,False,True,28B,e6d22eaeb25269dd78b2086a7fbc88ea5604221f886dccec006c8c8cd13d8487,H*********l,ca67232a3e0ec19c66dbc808a7347ca88de434905b4476563f5ed33157c26f7e
